"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
150831,"occ",,,13403,"Dorudon atrox","species",53288,"","Dorudon atrox","species",62994,"Priabonian","",38,33.9,6026
300813,"occ",,,28981,"n. gen. Artiocetus n. sp. clavis","species",53317,"","Artiocetus clavis","species",53317,"Lutetian","",47.8,41.3,8328
348025,"occ",,,32902,"Basilosaurus cf. cetoides","species",53153,"","Basilosaurus cetoides","species",63132,"Priabonian","",38,33.9,36758
348043,"occ",,,32920,"Basilosauridae indet.","family",42936,"","Basilosauridae","family",42936,"Priabonian","",38,33.9,8825
460969,"occ",,,45456,"Pomatodelphis inaequalis","species",62907,"","Pomatodelphis inaequalis","species",62907,"Serravallian","",13.82,11.62,2613
460993,"occ",,,18573,"Pontoporiidae indet.","family",42965,"","Pontoporiidae","family",42965,"Late Hemphillian","",10.3,4.9,2613
461048,"occ",13827,,45469,"Scaldicetus sp.","genus",36900,"","Scaldicetus","genus",36900,"Serravallian","",13.82,11.62,2613
461049,"occ",,,45469,"Balaenoptera n. sp. floridana","species",68451,"invalid subgroup of","Mysticeti","suborder",42971,"Serravallian","",13.82,11.62,12596
461091,"occ",,,45485,"n. gen. Scaphokogia n. sp. cochlearis","species",62929,"","Scaphokogia cochlearis","species",62929,"Tortonian","",11.62,7.246,11895
461097,"occ",,,45489,"Megaptera n. sp. miocaena","species",69900,"invalid subgroup of","Megaptera","genus",36760,"Tortonian","",11.62,7.246,11899
461111,"occ",,,13297,"n. gen. Aulophyseter n. sp. morricei","species",63838,"","Aulophyseter morricei","species",63838,"Langhian","",15.97,13.82,11909
462051,"occ",,,45586,"n. gen. Nalacetus n. sp. ratimitus","species",63098,"","Nalacetus ratimitus","species",63098,"Lutetian","",47.8,41.3,11990
462339,"occ",,,45590,"Gaviacetus n. sp. sahnii","species",63127,"recombined as","Kharodacetus sahnii","species",63127,"Lutetian","",47.8,41.3,11997
462341,"occ",,,45592,"Remingtonocetus sloani","species",63125,"recombined as","Andrewsiphius sloani","species",63120,"Lutetian","",47.8,41.3,11997
462841,"occ",,,45656,"Squalodon andrewi","species",63220,"invalid subgroup of","Squalodontidae","family",42939,"Waitakian","",25.2,21.7,12036
462876,"occ",,,45668,"Archaeoceti ? indet.","suborder",42933,"","Archaeoceti","suborder",42933,"Bortonian","Whaingaroan",43,27.3,12038
464567,"occ",,,45887,"Prosqualodon australis","species",58388,"","Prosqualodon australis","species",58388,"Aquitanian","Burdigalian",23.03,15.97,12217
465443,"occ",,,13297,"n. gen. Tiphyocetus n. sp. temblorensis","species",63836,"","Tiphyocetus temblorensis","species",63836,"Langhian","",15.97,13.82,12162
465461,"occ",12071,,45458,"Phocoenidae indet.","family",53269,"","Phocoenidae","family",102804,"Messinian","",7.246,5.333,12282
465650,"occ",,,37598,"Eosqualodon n. sp. langewieschei","species",63228,"","Eosqualodon langewieschei","species",63228,"Chattian","",28.1,23.03,12298
478171,"occ",,,47425,"n. gen. Miokogia elongatus","species",64553,"","Miokogia elongatus","species",64552,"Burdigalian","",20.44,15.97,12747
478172,"occ",,,47426,"Miokogia elongatus","species",64553,"","Miokogia elongatus","species",64552,"Burdigalian","",20.44,15.97,12747
478174,"occ",,,47428,"Kogia cf. simus","species",68218,"recombined as","Kogia sima","species",103701,"Piacenzian","",3.6,2.588,15410
478181,"occ",,,11601,"Acrodelphis bakersfieldensis","species",64562,"recombined as","Argyrocetus bakersfieldensis","species",64562,"Aquitanian","",23.03,20.44,12749
478298,"occ",,,47465,"n. gen. Protobalaena sp.","genus",36832,"nomen dubium","Mysticeti","suborder",42971,"Late Miocene","Late Pliocene",11.608,2.588,12761
478721,"occ",,,34741,"Cetotherium n. sp. maicopicum","species",65617,"invalid subgroup of","Chaeomysticeti","unranked clade",53254,"Sarmatian","",12.7,11.608,29032
478726,"occ",,,47623,"Protodelphinus capellinii","species",64379,"","Protodelphinus capellinii","species",64379,"Aquitanian","",23.03,20.44,12610
478733,"occ",,,47465,"Ziphirostrum gracile","species",64611,"subjective synonym of","Ziphirostrum marginatum","species",64609,"Late Miocene","Late Pliocene",11.608,2.588,12767
486153,"occ",,,48646,"Steno bellardii","species",66754,"subjective synonym of","Etruridelphis giulii","species",63824,"Piacenzian","Gelasian",3.6,1.806,12981
486167,"occ",,,48652,"Dioplodon n. sp. danconae","species",68004,"nomen dubium","Mesoplodon","genus",36763,"Piacenzian","",3.6,2.588,26035
488663,"occ",,,47425,"Squalodelphis cf. fabianii","species",64078,"","Squalodelphis fabianii","species",64078,"Burdigalian","",20.44,15.97,13125
489923,"occ",13519,,49395,"Eosqualodon n. sp. latirostris","species",90871,"","Eosqualodon latirostris","species",90634,"Aquitanian","",23.03,20.44,13196
492120,"occ",,,47428,"Steno sp.","genus",36855,"","Steno","genus",36855,"Piacenzian","",3.6,2.588,26039
492122,"occ",,,47428,"Steno bellardii","species",66754,"subjective synonym of","Etruridelphis giulii","species",63824,"Piacenzian","",3.6,2.588,13332
492135,"occ",,,49688,"Odontoceti indet.","suborder",42937,"","Odontoceti","suborder",42937,"Pliocene","",5.333,2.588,13332
494406,"occ",,,47125,"Eurhinodelphis sp.","genus",36717,"","Eurhinodelphis","genus",36717,"Burdigalian","Messinian",20.44,5.333,13419
494419,"occ",,,47125,"Argyrocetus sp.","genus",36668,"","Argyrocetus","genus",36668,"Burdigalian","Messinian",20.44,5.333,13419
502044,"occ",,,51015,"Delphinapterus leucas","species",65078,"","Delphinapterus leucas","species",64545,"Late Pleistocene","",0.126,0.0117,13616
502725,"occ",,,46950,"Eurhinodelphis informal sp. A","genus",36717,"obsolete variant of","Eurhinodelphis","genus",36717,"Burdigalian","",20.44,15.97,13631
506436,"occ",,,46167,"Megaptera sp.","genus",36760,"","Megaptera","genus",36760,"Messinian","",7.246,5.333,13672
506478,"occ",,,50343,"Delphinidae ? indet.","family",42953,"","Delphinidae","family",42953,"Zanclean","",5.333,3.6,13672
506571,"occ",,,51419,"Mysticeti ? indet.","suborder",42971,"","Mysticeti","suborder",42971,"Late Miocene","Late Pliocene",11.608,2.588,13672
